City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,siyabuswa,-25.1132,29.0445,288.83,27,0,0.54,ZA,1689700371
83,the pas,53.8251,-101.2541,294.16,56,40,6.69,CA,1689700371
84,kavala,40.9397,24.4019,301.95,73,20,1.03,GR,1689700371
85,tefe,-3.3542,-64.7114,304.21,66,40,2.57,BR,1689700372
86,vadso,70.0744,29.7487,290.24,77,40,1.03,NO,1689700372
87,warrenton,-28.114,24.8475,288.9,24,0,4.62,ZA,1689700372
88,ribeira grande,38.5167,-28.7,296.37,73,20,2.06,PT,1689700372
89,rongelap,11.1635,166.8941,301.41,78,27,5.93,MH,1689700373
90,hami,42.8,93.45,304.0,22,81,1.62,CN,1689700373
91,miandrivazo,-19.5167,45.4667,298.38,38,6,0.41,MG,1689700373
92,acapulco de juarez,16.8634,-99.8901,304.84,61,95,2.54,MX,1689700144
93,arraial do cabo,-22.9661,-42.0278,296.07,83,75,3.6,BR,1689700373
94,ilgaz,40.9251,33.6259,295.02,50,0,2.51,TR,1689700374
95,nemuro,43.3236,145.575,286.15,93,100,1.28,JP,1689700374
96,lebu,-37.6167,-73.65,285.37,55,100,4.55,CL,1689700374
97,port mathurin,-19.6833,63.4167,296.62,82,100,11.65,MU,1689700374
98,frontera,26.9333,-101.45,306.99,31,0,2.47,MX,1689700173
99,kuching,1.55,110.3333,301.27,83,40,1.54,MY,1689700131
100,susuman,62.7833,148.1667,283.92,66,57,0.77,RU,1689700375
101,kiunga,-6.1219,141.2906,294.97,99,100,1.11,PG,1689700375
102,kourou,5.1552,-52.6478,304.18,63,19,4.85,GF,1689700294
103,shiguai,40.7058,110.2856,294.79,39,0,1.03,CN,1689700375
104,puerto aysen,-45.4,-72.7,272.17,69,0,3.6,CL,1689700376
105,priladozhskiy,59.85,31.4833,289.38,86,100,1.33,RU,1689700376
106,ocean shores,46.9737,-124.1563,291.45,79,0,3.09,US,1689700376
107,talnakh,69.4865,88.3972,286.26,84,100,6.38,RU,1689700376
108,samfya,-11.3649,29.5565,292.1,43,1,1.16,ZM,1689700376
109,puerto ayacucho,5.6639,-67.6236,302.78,69,44,1.02,VE,1689700377
110,nanning,22.8167,108.3167,298.29,93,100,6.86,CN,1689700377
111,muynoq,43.7683,59.0214,301.15,30,17,2.97,UZ,1689700377
112,bolobo,-2.1667,16.2333,303.77,32,98,0.32,CD,1689700377
113,pontianak,-0.0333,109.3333,298.0,89,68,0.73,ID,1689700152
114,vorgashor,67.5833,63.95,290.89,78,57,1.93,RU,1689700378
115,taloda,21.5667,74.2167,299.76,89,100,6.52,IN,1689700378
116,mto wa mbu,-3.35,35.85,294.78,49,6,1.16,TZ,1689700378
117,ulsteinvik,62.3432,5.8487,288.14,75,100,9.39,NO,1689700378
118,mejit,10.2753,170.8646,301.06,82,78,6.75,MH,1689700378
119,huarmey,-10.0681,-78.1522,296.46,64,28,4.29,PE,1689700379
120,papatowai,-46.5619,169.4708,283.73,63,58,5.54,NZ,1689700379
121,avarua,-21.2078,-159.775,294.18,94,100,2.57,CK,1689700379
122,benguela,-12.5763,13.4055,295.02,85,41,1.99,AO,1689700379
123,haiku-pauwela,20.9219,-156.3051,298.16,61,20,8.23,US,1689700380
124,hermanus,-34.4187,19.2345,285.26,75,66,10.54,ZA,1689700380
125,nampula,-15.1165,39.2666,294.22,59,90,3.28,MZ,1689700380
126,tsiombe,-25.3,45.4833,293.66,85,0,5.46,MG,1689700386
127,castillos,-34.1667,-53.8333,283.07,63,93,3.36,UY,1689700387
128,mandalgovi,45.7625,106.2708,289.87,82,97,8.48,MN,1689700388
129,gaiman,-43.2897,-65.4929,281.66,39,25,6.43,AR,1689700388
130,kingston,17.997,-76.7936,305.32,54,69,4.41,JM,1689700245
131,anadyr,64.75,177.4833,288.43,72,0,5.0,RU,1689700389
132,constantia,44.1833,28.65,304.53,53,49,6.37,RO,1689700307
133,hadibu,12.65,54.0333,298.68,76,14,9.41,YE,1689700389
134,kardla,58.9978,22.7492,290.96,64,71,6.04,EE,1689700389
135,dudinka,69.4058,86.1778,287.33,75,100,7.53,RU,1689700390
136,longyearbyen,78.2186,15.6401,284.06,54,0,3.6,SJ,1689700390
137,geraldton,-28.7667,114.6,290.38,88,75,9.26,AU,1689700390
138,daru,-9.0763,143.2092,296.73,88,9,4.42,PG,1689700391
139,hithadhoo,-0.6,73.0833,300.81,73,56,1.01,MV,1689700391
140,yaguara,2.6636,-75.5175,301.4,39,66,3.16,CO,1689700391
141,trinidad,-14.8333,-64.9,298.14,53,83,4.12,BO,1689700392
142,nova sintra,14.8667,-24.7167,295.75,75,25,7.0,CV,1689700392
143,okeechobee,27.2439,-80.8298,308.14,53,75,3.03,US,1689700217
144,metlili chaamba,32.2667,3.6333,314.67,8,0,7.2,DZ,1689700392
145,ilulissat,69.2167,-51.1,281.16,87,40,3.09,GL,1689700393
146,gremyachinsk,58.5603,57.851,287.88,97,100,1.75,RU,1689700393
147,esperanza,19.5847,-70.9849,305.42,34,100,7.29,DO,1689700174
148,cadale,2.7603,46.3222,298.42,83,32,9.29,SO,1689700394
149,jamestown,42.097,-79.2353,297.33,62,100,2.57,US,1689700394
150,kamaishi,39.2667,141.8833,294.98,99,100,0.91,JP,1689700395
151,columbia,34.0007,-81.0348,307.3,47,0,2.57,US,1689700252
152,touros,-5.1989,-35.4608,301.36,65,33,7.85,BR,1689700301
153,mandiana,10.6333,-8.6833,302.92,62,84,1.2,GN,1689700396
154,muroto-misakicho,33.2833,134.15,299.79,91,100,5.73,JP,1689700396
155,fort mcmurray,56.7268,-111.381,293.92,64,20,2.06,CA,1689700343
156,sierra grande,-41.606,-65.3557,279.09,48,62,9.2,AR,1689700397
157,nadym,65.5333,72.5167,292.27,54,39,4.71,RU,1689700397
158,saint-philippe,-21.3585,55.7679,294.92,79,36,5.68,RE,1689700397
159,ujae,8.9322,165.7642,301.37,79,43,5.53,MH,1689700397
160,natal,-5.795,-35.2094,297.51,94,75,3.6,BR,1689700246
161,ad dabbah,18.05,30.95,313.14,9,55,3.15,SD,1689700398
162,terrace,54.5163,-128.6035,289.38,77,100,1.03,CA,1689700354
163,simenqian,27.4872,110.8861,296.18,99,100,1.63,CN,1689700399
164,mogocha,53.7333,119.7667,289.11,99,100,1.01,RU,1689700399
165,uturoa,-16.7333,-151.4333,299.14,73,16,6.3,PF,1689700399
166,puerto madryn,-42.7692,-65.0385,281.49,45,39,10.92,AR,1689700247
167,san rafael,-34.6177,-68.3301,286.95,32,58,5.97,AR,1689700400
168,lihue,21.9789,-159.3672,299.92,78,40,9.26,US,1689700400
169,angel r. cabada,18.5833,-95.4333,303.45,64,100,2.71,MX,1689700400
170,n'dalatando,-9.2978,14.9116,301.0,25,5,2.71,AO,1689700401
171,saint-georges,12.0564,-61.7485,303.97,74,75,6.17,GD,1689700401
172,houlton,46.1262,-67.8403,300.16,73,0,2.06,US,1689700403
173,gadzhiyevo,69.2551,33.3362,290.4,73,100,2.35,RU,1689700403
174,newman,37.3138,-121.0208,306.51,15,3,0.82,US,1689700403
175,kurumkan,54.3,110.3,289.2,75,52,1.71,RU,1689700404
176,belmonte,-15.8631,-38.8828,299.42,59,5,3.29,BR,1689700404
177,codrington,-38.2667,141.9667,278.16,84,30,2.6,AU,1689700404
178,happy valley-goose bay,53.3168,-60.3315,303.32,42,20,9.26,CA,1689700405
179,kerikeri,-35.2268,173.9474,282.01,94,12,1.45,NZ,1689700405
180,mazagao,-0.115,-51.2894,305.18,50,53,2.24,BR,1689700406
181,stanley,54.868,-1.6985,287.45,90,75,1.54,GB,1689700283
182,richards bay,-28.783,32.0377,293.69,46,0,3.06,ZA,1689700406
183,taltal,-25.4,-70.4833,293.64,58,60,2.03,CL,1689700407
184,buxton,53.2574,-1.9098,287.14,96,100,2.05,GB,1689700407
185,port lincoln,-34.7333,135.8667,284.23,78,24,7.32,AU,1689700407
186,klyuchi,52.2667,79.1667,294.4,44,89,3.53,RU,1689700408
187,quelimane,-17.8786,36.8883,295.12,83,20,3.6,MZ,1689700408
188,hawaiian paradise park,19.5933,-154.9731,297.88,93,100,5.14,US,1689700408
189,alofi,-19.0595,-169.9187,294.09,73,97,5.14,NU,1689700408
190,akureyri,65.6835,-18.0878,281.11,76,100,5.66,IS,1689700409
191,asau,46.4333,26.4,300.66,66,41,1.95,RO,1689700409
192,krasnokamensk,50.0979,118.0369,290.69,93,100,2.39,RU,1689700409
193,bereeda,11.8704,51.0579,303.4,58,1,1.88,SO,1689700410
194,walvis bay,-22.9575,14.5053,292.71,47,0,7.78,NA,1689700410
195,khandyga,62.6667,135.6,287.85,98,56,2.71,RU,1689700410
196,chunskiy,56.0815,99.6342,286.01,77,2,0.79,RU,1689700411
197,la reforma,25.0833,-108.05,304.07,68,95,3.58,MX,1689700411
198,aromashevo,56.8602,68.6375,292.55,91,100,7.08,RU,1689700411
199,zaozersk,69.4005,32.4476,290.75,74,100,1.8,RU,1689700412
200,cabedelo,-6.9811,-34.8339,302.52,78,23,8.09,BR,1689700140
201,qaqortoq,60.7167,-46.0333,282.48,90,100,1.53,GL,1689700412
202,chibougamau,49.9168,-74.3659,292.94,64,75,5.03,CA,1689700412
203,prokhladnyy,43.7574,44.0297,297.58,59,0,1.43,RU,1689700413
204,orchard homes,46.8633,-114.0484,298.3,38,0,1.34,US,1689700413
205,tazacorte,28.629,-17.9293,298.23,73,75,4.63,ES,1689700413
206,puerto deseado,-47.7503,-65.8938,279.22,59,10,8.51,AR,1689700414
207,iskateley,67.6803,53.1512,292.42,77,93,1.63,RU,1689700414
208,bonthe,7.5264,-12.505,299.42,83,99,4.12,SL,1689700414
209,praia da vitoria,38.7333,-27.0667,296.35,68,75,1.86,PT,1689700415
210,kula,38.5473,28.6498,302.17,22,0,7.17,TR,1689700415
211,san patricio,28.017,-97.5169,309.21,36,4,4.75,US,1689700415
212,bairnsdale,-37.8333,147.6167,280.4,80,33,4.77,AU,1689700416
213,paka,4.6374,103.4368,300.11,94,100,0.0,MY,1689700416
214,cozumel,20.5083,-86.9458,306.45,74,75,6.17,MX,1689700119
215,bhawana,31.5692,72.649,310.12,43,21,6.63,PK,1689700416
216,bandrele,-12.9067,45.1914,298.01,78,0,2.06,YT,1689700416
217,badger,64.8,-147.5333,290.08,87,100,1.54,US,1689700409
218,pingliang,35.5392,106.6861,292.63,59,48,1.99,CN,1689700417
219,clinton,42.587,-82.9199,299.66,58,75,4.12,US,1689700417
220,saint john,45.2727,-66.0677,294.72,88,100,6.69,CA,1689700417
221,kodiak,57.79,-152.4072,285.88,94,100,4.63,US,1689700418
222,rehoboth,-23.3167,17.0833,289.73,17,0,3.11,NA,1689700419
223,bridgewater,44.3835,-64.5155,302.1,79,16,5.14,CA,1689700419
224,molde,62.7375,7.1591,288.03,62,75,10.29,NO,1689700195
225,barmer,25.75,71.3833,307.76,47,87,7.09,IN,1689700420
226,kingscliff,-28.2667,153.5667,286.04,100,68,3.6,AU,1689700420
227,bikenibeu village,1.3673,173.1241,300.13,89,75,2.06,KI,1689700420
228,bodaybo,57.8506,114.1933,284.98,82,96,0.98,RU,1689700420
229,kailua-kona,19.6406,-155.9956,300.13,80,20,6.17,US,1689700421
230,banda aceh,5.5577,95.3222,300.52,79,100,6.89,ID,1689700421
231,okha,53.5739,142.9478,283.37,93,51,1.6,RU,1689700421
